ip1_1;ip1_2;ip1_3;ip1_4;ip1_port;ip2_1;ip2_2;ip2_3;ip2_4;ip2_port;anomaly
219;196;206;31;2996;192;168;0;102;80;20
219;196;206;31;4456;192;168;0;102;80;20
219;196;206;31;12289;192;168;0;102;80;20
219;196;206;31;51176;192;168;0;102;80;20
219;196;206;31;14420;192;168;0;102;80;20
219;196;206;31;46207;192;168;0;102;80;20
219;196;206;31;52596;192;168;0;102;80;20
219;196;206;31;31487;192;168;0;102;80;20
219;196;206;31;20084;192;168;0;102;80;20
219;196;206;31;6934;192;168;0;102;80;20
219;196;206;31;19714;192;168;0;102;80;20
219;196;206;31;41977;192;168;0;102;80;20
219;196;206;31;26006;192;168;0;102;80;20
219;196;206;31;56903;192;168;0;102;80;20
219;196;206;31;36038;192;168;0;102;80;20
219;196;206;31;39573;192;168;0;102;80;20
219;196;206;31;63306;192;168;0;102;80;20
219;196;206;31;27663;192;168;0;102;80;20
219;196;206;31;42717;192;168;0;102;80;20
219;196;206;31;72;192;168;0;102;80;20
219;196;206;31;28915;192;168;0;102;80;20
219;196;206;31;55806;192;168;0;102;80;20
219;196;206;31;11007;192;168;0;102;80;20
219;196;206;31;40218;192;168;0;102;80;20
219;196;206;31;47475;192;168;0;102;80;20
219;196;206;31;25633;192;168;0;102;80;20
219;196;206;31;561;192;168;0;102;80;20
219;196;206;31;18101;192;168;0;102;80;20
219;196;206;31;26787;192;168;0;102;80;20
219;196;206;31;34457;192;168;0;102;80;20
219;196;206;31;27256;192;168;0;102;80;20
219;196;206;31;41868;192;168;0;102;80;20
219;196;206;31;22337;192;168;0;102;80;20
219;196;206;31;64133;192;168;0;102;80;20
219;196;206;31;6218;192;168;0;102;80;20
219;196;206;31;54670;192;168;0;102;80;20
219;196;206;31;47208;192;168;0;102;80;20
219;196;206;31;63269;192;168;0;102;80;20
219;196;206;31;28460;192;168;0;102;80;20
219;196;206;31;11034;192;168;0;102;80;20
219;196;206;31;57795;192;168;0;102;80;20
219;196;206;31;42447;192;168;0;102;80;20
219;196;206;31;42744;192;168;0;102;80;20
219;196;206;31;2667;192;168;0;102;80;20
219;196;206;31;10748;192;168;0;102;80;20
219;196;206;31;39881;192;168;0;102;80;20
219;196;206;31;15865;192;168;0;102;80;20
219;196;206;31;40833;192;168;0;102;80;20
219;196;206;31;6160;192;168;0;102;80;20
219;196;206;31;48375;192;168;0;102;80;20
219;196;206;31;54627;192;168;0;102;80;20
219;196;206;31;30313;192;168;0;102;80;20
219;196;206;31;7868;192;168;0;102;80;20
219;196;206;31;36278;192;168;0;102;80;20
219;196;206;31;6295;192;168;0;102;80;20
219;196;206;31;43813;192;168;0;102;80;20
219;196;206;31;17185;192;168;0;102;80;20
219;196;206;31;27147;192;168;0;102;80;20
219;196;206;31;43302;192;168;0;102;80;20
219;196;206;31;3934;192;168;0;102;80;20
219;196;206;31;50710;192;168;0;102;80;20
219;196;206;31;7527;192;168;0;102;80;20
219;196;206;31;51236;192;168;0;102;80;20
219;196;206;31;11734;192;168;0;102;80;20
219;196;206;31;8755;192;168;0;102;80;20
219;196;206;31;40668;192;168;0;102;80;20
219;196;206;31;38037;192;168;0;102;80;20
219;196;206;31;40710;192;168;0;102;80;20
219;196;206;31;16996;192;168;0;102;80;20
219;196;206;31;33206;192;168;0;102;80;20
219;196;206;31;28928;192;168;0;102;80;20
219;196;206;31;13414;192;168;0;102;80;20
219;196;206;31;1229;192;168;0;102;80;20
219;196;206;31;3620;192;168;0;102;80;20
219;196;206;31;32001;192;168;0;102;80;20
219;196;206;31;17112;192;168;0;102;80;20
219;196;206;31;30265;192;168;0;102;80;20
219;196;206;31;1906;192;168;0;102;80;20
219;196;206;31;30573;192;168;0;102;80;20
219;196;206;31;47472;192;168;0;102;80;20
219;196;206;31;38349;192;168;0;102;80;20
219;196;206;31;54958;192;168;0;102;80;20
219;196;206;31;23958;192;168;0;102;80;20
219;196;206;31;43315;192;168;0;102;80;20
219;196;206;31;16869;192;168;0;102;80;20
219;196;206;31;33170;192;168;0;102;80;20
219;196;206;31;64367;192;168;0;102;80;20
219;196;206;31;137;192;168;0;102;80;20
219;196;206;31;33473;192;168;0;102;80;20
219;196;206;31;39763;192;168;0;102;80;20
219;196;206;31;20855;192;168;0;102;80;20
219;196;206;31;48472;192;168;0;102;80;20
219;196;206;31;56109;192;168;0;102;80;20
219;196;206;31;22922;192;168;0;102;80;20
219;196;206;31;61199;192;168;0;102;80;20
219;196;206;31;14248;192;168;0;102;80;20
219;196;206;31;57664;192;168;0;102;80;20
219;196;206;31;59518;192;168;0;102;80;20
219;196;206;31;36581;192;168;0;102;80;20
219;196;206;31;16027;192;168;0;102;80;20
219;196;206;31;8867;192;168;0;102;80;20
219;196;206;31;13619;192;168;0;102;80;20
219;196;206;31;50621;192;168;0;102;80;20
219;196;206;31;29341;192;168;0;102;80;20
219;196;206;31;3132;192;168;0;102;80;20
219;196;206;31;49597;192;168;0;102;80;20
219;196;206;31;24493;192;168;0;102;80;20
219;196;206;31;26472;192;168;0;102;80;20
219;196;206;31;21819;192;168;0;102;80;20
219;196;206;31;48656;192;168;0;102;80;20
219;196;206;31;45608;192;168;0;102;80;20
219;196;206;31;54910;192;168;0;102;80;20
219;196;206;31;403;192;168;0;102;80;20
219;196;206;31;7508;192;168;0;102;80;20
219;196;206;31;29295;192;168;0;102;80;20
219;196;206;31;63547;192;168;0;102;80;20
219;196;206;31;48290;192;168;0;102;80;20
219;196;206;31;37323;192;168;0;102;80;20
219;196;206;31;61223;192;168;0;102;80;20
219;196;206;31;12167;192;168;0;102;80;20
219;196;206;31;10325;192;168;0;102;80;20
219;196;206;31;21261;192;168;0;102;80;20
219;196;206;31;50317;192;168;0;102;80;20
219;196;206;31;459;192;168;0;102;80;20
219;196;206;31;55727;192;168;0;102;80;20
219;196;206;31;31313;192;168;0;102;80;20
219;196;206;31;23191;192;168;0;102;80;20
219;196;206;31;55658;192;168;0;102;80;20
219;196;206;31;64391;192;168;0;102;80;20
219;196;206;31;10024;192;168;0;102;80;20
219;196;206;31;11669;192;168;0;102;80;20
219;196;206;31;30079;192;168;0;102;80;20
219;196;206;31;61975;192;168;0;102;80;20
219;196;206;31;28153;192;168;0;102;80;20
219;196;206;31;1272;192;168;0;102;80;20
219;196;206;31;5969;192;168;0;102;80;20
219;196;206;31;18758;192;168;0;102;80;20
219;196;206;31;60455;192;168;0;102;80;20
219;196;206;31;61132;192;168;0;102;80;20
219;196;206;31;41791;192;168;0;102;80;20
219;196;206;31;44357;192;168;0;102;80;20
219;196;206;31;9798;192;168;0;102;80;20
219;196;206;31;39049;192;168;0;102;80;20
219;196;206;31;57388;192;168;0;102;80;20
219;196;206;31;32162;192;168;0;102;80;20
219;196;206;31;64050;192;168;0;102;80;20
219;196;206;31;63178;192;168;0;102;80;20
219;196;206;31;30291;192;168;0;102;80;20
