12:24:07.157761, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 329, 
12:24:07.160318, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 186, 
12:24:07.171607, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 224, 
12:24:07.174105, IP, 192.168.0.102.50265, >, 162.159.137.234.443:, Flags, [P.],, seq, 172:233,, ack, 1,, win, 509,, length, 61, 
12:24:07.178908, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 327, 
12:24:07.195309, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 224, 
12:24:07.197656, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 350, 
12:24:07.202222, IP, 162.159.137.234.443, >, 192.168.0.102.50265:, Flags, [.],, ack, 233,, win, 68,, length, 0, 
12:24:07.209466, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 221, 
12:24:07.217718, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 339, 
12:24:07.230260, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 223, 
12:24:07.237764, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 332, 
12:24:07.252701, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 215, 
12:24:07.257832, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 330, 
12:24:07.264678, IP, 162.159.137.234.443, >, 192.168.0.102.50265:, Flags, [P.],, seq, 1:58,, ack, 233,, win, 68,, length, 57, 
12:24:07.272540, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 213, 
12:24:07.277797, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 326, 
12:24:07.291441, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 216, 
12:24:07.297688, IP, 188.122.66.119.50001, >, 192.168.0.102.49260:, UDP,, length, 322, 
