192;168;0;102;55061;192;168;0;1;53;
192;168;0;102;55061;192;168;0;1;53;
192;168;0;1;53;192;168;0;102;55061;
192;168;0;102;49186;20;82;209;183;443;
20;82;209;183;443;192;168;0;102;49186;
192;168;0;102;49186;20;82;209;183;443;
192;168;0;102;49186;20;82;209;183;443;
192;168;0;102;49186;20;82;209;183;443;
192;168;0;102;49186;20;82;209;183;443;
20;82;209;183;443;192;168;0;102;49186;
192;168;0;102;49186;20;82;209;183;443;
192;168;0;102;49186;20;82;209;183;443;
192;168;0;102;49186;20;82;209;183;443;
192;168;0;102;49186;20;82;209;183;443;
20;82;209;183;443;192;168;0;102;49186;
20;82;209;183;443;192;168;0;102;49186;
20;82;209;183;443;192;168;0;102;49186;
192;168;0;102;49186;20;82;209;183;443;
192;168;0;102;49186;20;82;209;183;443;
20;82;209;183;443;192;168;0;102;49186;
192;168;0;102;49186;20;82;209;183;443;
20;82;209;183;443;192;168;0;102;49186;
20;82;209;183;443;192;168;0;102;49186;
192;168;0;102;49186;20;82;209;183;443;
20;82;209;183;443;192;168;0;102;49186;
192;168;0;102;49186;20;82;209;183;443;
20;82;209;183;443;192;168;0;102;49186;
20;82;209;183;443;192;168;0;102;49186;
